article_id,title,content_type,published_at,url,views,likes,comments,favorites,earnings,earnings_per_1k_views,historical_batch,historical_source,historical_completeness,question_type,structure_used,primary_variable,first_screen_type,core_mechanism,result_layer,deep_review,historical_rule_status,evidence_level,status,sample_level,upgrade_reason,source,collected_at,notes
answer_2065106196743336800,如果领导的工作安排明显有问题，下属到底需要执行下去，还是拒绝执行？,回答,发布于 6 小时前,https://www.zhihu.com/answer/2065106196743336800,86,0,0,1,,,HIST-01,知乎创作中心-内容管理,阅读完整/收益待补,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,否,未提取,RAW,已发布,L0,,知乎创作中心-内容管理,2026-07-27T17:59:00+03:00,
pin_2065094587811641066,知无不言 徽章佩戴留念，期待在知乎继续前行，探索无尽可能。,想法,发布于 7 小时前,https://www.zhihu.com/pin/2065094587811641066,22,0,0,,,,HIST-01,知乎创作中心-内容管理,阅读完整/收益待补,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,否,未提取,RAW,已发布,L0,,知乎创作中心-内容管理,2026-07-27T17:59:00+03:00,想法无收藏字段，favorites留空
answer_2065022033294107894,为什么我们越来越不尊敬领导了？,回答,发布于 12 小时前,https://www.zhihu.com/answer/2065022033294107894,283,0,0,1,,,HIST-01,知乎创作中心-内容管理,阅读完整/收益待补,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,否,未提取,RAW,已发布,L0,,知乎创作中心-内容管理,2026-07-27T17:59:00+03:00,
answer_2065019094504673760,两名下属，一个来得早，一个能力强，要提一个做管理，怎么选？,回答,发布于 12 小时前,https://www.zhihu.com/answer/2065019094504673760,63,1,0,0,,,HIST-01,知乎创作中心-内容管理,阅读完整/收益待补,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,否,未提取,RAW,已发布,L0,,知乎创作中心-内容管理,2026-07-27T17:59:00+03:00,
answer_2065015151401624924,领导看重自己，却提拔了别人，为什么？,回答,发布于 13 小时前,https://www.zhihu.com/answer/2065015151401624924,108,0,0,0,,,HIST-01,知乎创作中心-内容管理,阅读完整/收益待补,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,否,未提取,RAW,已发布,L0,,知乎创作中心-内容管理,2026-07-27T17:59:00+03:00,
answer_2064075076014708522,领导怎么看待核心员工离职这件事?,回答,编辑于 07-24,https://www.zhihu.com/answer/2064075076014708522,277,0,0,0,,,HIST-01,知乎创作中心-内容管理,阅读完整/收益待补,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,否,未提取,RAW,已发布,L0,,知乎创作中心-内容管理,2026-07-27T17:59:00+03:00,
answer_2064054719195223355,员工培养起来就跳槽怎么办？,回答,发布于 07-24,https://www.zhihu.com/answer/2064054719195223355,509,5,0,2,,,HIST-01,知乎创作中心-内容管理,阅读完整/收益待补,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,否,未提取,RAW,已发布,L0,,知乎创作中心-内容管理,2026-07-27T17:59:00+03:00,
answer_2064037315291378046,何一最被低估的能力是什么：营销、产品、管理还是识人？,回答,发布于 07-24,https://www.zhihu.com/answer/2064037315291378046,43,3,0,0,,,HIST-01,知乎创作中心-内容管理,阅读完整/收益待补,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,否,未提取,RAW,已发布,L0,,知乎创作中心-内容管理,2026-07-27T17:59:00+03:00,
answer_2064022392523985191,小红书被曝正主动联系相关老员工，愿补发期权换签署相关条款，真实性多大？若能达成一致，能顺利IPO吗？,回答,发布于 07-24,https://www.zhihu.com/answer/2064022392523985191,68,1,0,0,,,HIST-01,知乎创作中心-内容管理,阅读完整/收益待补,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,否,未提取,RAW,已发布,L0,,知乎创作中心-内容管理,2026-07-27T17:59:00+03:00,
answer_2064010056581042982,为什么许多公司不愿意提拔能力很强的员工?,回答,发布于 07-24,https://www.zhihu.com/answer/2064010056581042982,312,3,0,2,,,HIST-01,知乎创作中心-内容管理,阅读完整/收益待补,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,否,未提取,RAW,已发布,L0,,知乎创作中心-内容管理,2026-07-27T17:59:00+03:00,
answer_2064001332869181879,为什么普通人很难在工作中学习成长为一个强者？,回答,发布于 07-24,https://www.zhihu.com/answer/2064001332869181879,171,4,3,9,,,HIST-01,知乎创作中心-内容管理,阅读完整/收益待补,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,否,未提取,RAW,已发布,L0,,知乎创作中心-内容管理,2026-07-27T17:59:00+03:00,
answer_2063996301998559500,为什么我开始不害怕领导了，说什么都不反驳，只淡淡一笑，看到主要领导也就这样？,回答,发布于 07-24,https://www.zhihu.com/answer/2063996301998559500,139,1,0,0,,,HIST-01,知乎创作中心-内容管理,阅读完整/收益待补,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,否,未提取,RAW,已发布,L0,,知乎创作中心-内容管理,2026-07-27T17:59:00+03:00,
answer_2063716034964624021,为什么有的大公司一群聪明人，各种考核标准，事情做的一团糟？,回答,发布于 07-23,https://www.zhihu.com/answer/2063716034964624021,169,0,1,1,,,HIST-01,知乎创作中心-内容管理,阅读完整/收益待补,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,否,未提取,RAW,已发布,L0,,知乎创作中心-内容管理,2026-07-27T17:59:00+03:00,
answer_2063702955019261348,面对领导的打压，你会怎么做？,回答,发布于 07-23,https://www.zhihu.com/answer/2063702955019261348,10,0,0,0,,,HIST-01,知乎创作中心-内容管理,阅读完整/收益待补,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,否,未提取,RAW,已发布,L0,,知乎创作中心-内容管理,2026-07-27T17:59:00+03:00,
answer_2063619939760714950,管理者如何做到“凡事有交代，件件有着落”？,回答,发布于 07-23,https://www.zhihu.com/answer/2063619939760714950,18,0,0,0,,,HIST-01,知乎创作中心-内容管理,阅读完整/收益待补,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,否,未提取,RAW,已发布,L0,,知乎创作中心-内容管理,2026-07-27T17:59:00+03:00,
