pair_id,pair_role,article_id,title,views,earnings,earnings_per_1k_views,exposure_age_days,views_per_day,question_attention_level,question_attention_evidence,question_stage_at_publish,question_stage_evidence,existing_answer_count,existing_answer_count_evidence,high_like_occupied,high_like_occupied_evidence,audience_scope,audience_scope_evidence,conflict_strength,conflict_strength_evidence,emotional_charge,emotional_charge_evidence,first_sentence_judgment,first_sentence_evidence,first_100_interest_conflict,first_100_evidence,like_rate,comment_rate,favorite_rate,post_outcome_role,primary_hypothesis,annotation_status,notes
PAIR-01,A_MATCHED_HIGH_PLAY,answer_2063268216005309342,为什么很多人，做到经理或总监，就再也上不去了？,6567,1611.0,245.32,34,193.15,,UNKNOWN,,UNKNOWN,,UNKNOWN,,UNKNOWN,,RECONSTRUCTED,,RECONSTRUCTED,,RECONSTRUCTED,,UNKNOWN,,UNKNOWN,0.0094,0.0009,0.0204,OUTCOME_OR_MEDIATOR,,PENDING,Seeded from matched pairs; do not infer publish-time question context from current Zhihu state.
PAIR-01,B_MATCHED_LOW_PLAY,answer_2061965818829739713,什么类型的人适合当领导？,481,94.0,195.43,38,12.66,,UNKNOWN,,UNKNOWN,,UNKNOWN,,UNKNOWN,,RECONSTRUCTED,,RECONSTRUCTED,,RECONSTRUCTED,,UNKNOWN,,UNKNOWN,0.0083,0.0,0.027,OUTCOME_OR_MEDIATOR,,PENDING,Seeded from matched pairs; do not infer publish-time question context from current Zhihu state.
PAIR-02,A_MATCHED_HIGH_PLAY,answer_2063019845868860854,基层工作现在的难点是什么？,1712,320.0,186.92,35,48.91,,UNKNOWN,,UNKNOWN,,UNKNOWN,,UNKNOWN,,RECONSTRUCTED,,RECONSTRUCTED,,RECONSTRUCTED,,UNKNOWN,,UNKNOWN,0.0239,0.0018,0.0134,OUTCOME_OR_MEDIATOR,,PENDING,Seeded from matched pairs; do not infer publish-time question context from current Zhihu state.
PAIR-02,B_MATCHED_LOW_PLAY,answer_2061118130731096014,领导提拔你的最根本的原因是什么？,509,88.0,172.89,40,12.72,,UNKNOWN,,UNKNOWN,,UNKNOWN,,UNKNOWN,,RECONSTRUCTED,,RECONSTRUCTED,,RECONSTRUCTED,,UNKNOWN,,UNKNOWN,0.0098,0.0,0.0157,OUTCOME_OR_MEDIATOR,,PENDING,Seeded from matched pairs; do not infer publish-time question context from current Zhihu state.
PAIR-03,A_MATCHED_HIGH_PLAY,answer_2062594251175810974,如何看待大力提拔选拔年轻干部?,820,33.0,40.24,36,22.78,,UNKNOWN,,UNKNOWN,,UNKNOWN,,UNKNOWN,,RECONSTRUCTED,,RECONSTRUCTED,,RECONSTRUCTED,,UNKNOWN,,UNKNOWN,0.0049,0.0,0.0061,OUTCOME_OR_MEDIATOR,,PENDING,Seeded from matched pairs; do not infer publish-time question context from current Zhihu state.
PAIR-03,B_MATCHED_LOW_PLAY,answer_2062588572134289861,基层为什么越来越累？,167,9.0,53.89,36,4.64,,UNKNOWN,,UNKNOWN,,UNKNOWN,,UNKNOWN,,RECONSTRUCTED,,RECONSTRUCTED,,RECONSTRUCTED,,UNKNOWN,,UNKNOWN,0.006,0.0,0.006,OUTCOME_OR_MEDIATOR,,PENDING,Seeded from matched pairs; do not infer publish-time question context from current Zhihu state.
PAIR-04,A_MATCHED_HIGH_PLAY,answer_2054353693386990646,什么样的员工容易被提拔为管理层？,1289,431.0,334.37,59,21.85,,UNKNOWN,,UNKNOWN,,UNKNOWN,,UNKNOWN,,RECONSTRUCTED,,RECONSTRUCTED,,RECONSTRUCTED,,UNKNOWN,,UNKNOWN,0.0109,0.0,0.014,OUTCOME_OR_MEDIATOR,,PENDING,Seeded from matched pairs; do not infer publish-time question context from current Zhihu state.
PAIR-04,B_MATCHED_LOW_PLAY,answer_2053150670178595072,销售那么挣钱，为什么大家不愿意做销售？,235,78.0,331.91,62,3.79,,UNKNOWN,,UNKNOWN,,UNKNOWN,,UNKNOWN,,RECONSTRUCTED,,RECONSTRUCTED,,RECONSTRUCTED,,UNKNOWN,,UNKNOWN,0.0213,0.0,0.034,OUTCOME_OR_MEDIATOR,,PENDING,Seeded from matched pairs; do not infer publish-time question context from current Zhihu state.
PAIR-05,A_MATCHED_HIGH_PLAY,answer_2056059209934959217,怎么判断一个单位已经烂透了?,962,217.0,225.57,54,17.81,,UNKNOWN,,UNKNOWN,,UNKNOWN,,UNKNOWN,,RECONSTRUCTED,,RECONSTRUCTED,,RECONSTRUCTED,,UNKNOWN,,UNKNOWN,0.0125,0.001,0.0166,OUTCOME_OR_MEDIATOR,,PENDING,Seeded from matched pairs; do not infer publish-time question context from current Zhihu state.
PAIR-05,B_MATCHED_LOW_PLAY,answer_2055788329006784796,好领导一般都什么样？,440,91.0,206.82,55,8.0,,UNKNOWN,,UNKNOWN,,UNKNOWN,,UNKNOWN,,RECONSTRUCTED,,RECONSTRUCTED,,RECONSTRUCTED,,UNKNOWN,,UNKNOWN,0.0159,0.0,0.0159,OUTCOME_OR_MEDIATOR,,PENDING,Seeded from matched pairs; do not infer publish-time question context from current Zhihu state.
PAIR-06,A_MATCHED_HIGH_PLAY,answer_2053140800012391180,中年失业出路在哪？,988,100.0,101.21,62,15.94,,UNKNOWN,,UNKNOWN,,UNKNOWN,,UNKNOWN,,RECONSTRUCTED,,RECONSTRUCTED,,RECONSTRUCTED,,UNKNOWN,,UNKNOWN,0.0061,0.0,0.0142,OUTCOME_OR_MEDIATOR,,PENDING,Seeded from matched pairs; do not infer publish-time question context from current Zhihu state.
PAIR-06,B_MATCHED_LOW_PLAY,answer_2053482385552021494,为什么成功人士的精力都非常旺盛？,278,32.0,115.11,61,4.56,,UNKNOWN,,UNKNOWN,,UNKNOWN,,UNKNOWN,,RECONSTRUCTED,,RECONSTRUCTED,,RECONSTRUCTED,,UNKNOWN,,UNKNOWN,0.0108,0.0,0.0072,OUTCOME_OR_MEDIATOR,,PENDING,Seeded from matched pairs; do not infer publish-time question context from current Zhihu state.
PAIR-07,A_MATCHED_HIGH_PLAY,answer_2053893528665823152,职场中的人才，到底是「选拔」出来的还是「培养」出来的？,796,420.0,527.64,60,13.27,,UNKNOWN,,UNKNOWN,,UNKNOWN,,UNKNOWN,,RECONSTRUCTED,,RECONSTRUCTED,,RECONSTRUCTED,,UNKNOWN,,UNKNOWN,0.0176,0.0,0.0163,OUTCOME_OR_MEDIATOR,,PENDING,Seeded from matched pairs; do not infer publish-time question context from current Zhihu state.
PAIR-07,B_MATCHED_LOW_PLAY,answer_2052166992531027845,为什么现在的年轻人创业经常失败？,315,94.0,298.41,65,4.85,,UNKNOWN,,UNKNOWN,,UNKNOWN,,UNKNOWN,,RECONSTRUCTED,,RECONSTRUCTED,,RECONSTRUCTED,,UNKNOWN,,UNKNOWN,0.0127,0.0,0.0317,OUTCOME_OR_MEDIATOR,,PENDING,Seeded from matched pairs; do not infer publish-time question context from current Zhihu state.
PAIR-08,A_MATCHED_HIGH_PLAY,answer_2057129843288957834,现在就业大环境怎么样？,594,61.0,102.69,51,11.65,,UNKNOWN,,UNKNOWN,,UNKNOWN,,UNKNOWN,,RECONSTRUCTED,,RECONSTRUCTED,,RECONSTRUCTED,,UNKNOWN,,UNKNOWN,0.0084,0.0,0.0034,OUTCOME_OR_MEDIATOR,,PENDING,Seeded from matched pairs; do not infer publish-time question context from current Zhihu state.
PAIR-08,B_MATCHED_LOW_PLAY,answer_2060382464640561232,提拔人的底层逻辑是什么？,288,33.0,114.58,42,6.86,,UNKNOWN,,UNKNOWN,,UNKNOWN,,UNKNOWN,,RECONSTRUCTED,,RECONSTRUCTED,,RECONSTRUCTED,,UNKNOWN,,UNKNOWN,0.0069,0.0,0.0104,OUTCOME_OR_MEDIATOR,,PENDING,Seeded from matched pairs; do not infer publish-time question context from current Zhihu state.
PAIR-09,A_MATCHED_HIGH_PLAY,answer_2052522859554156734,普通人怎么才能实现财务自由？,553,102.0,184.45,64,8.64,,UNKNOWN,,UNKNOWN,,UNKNOWN,,UNKNOWN,,RECONSTRUCTED,,RECONSTRUCTED,,RECONSTRUCTED,,UNKNOWN,,UNKNOWN,0.0127,0.0,0.0325,OUTCOME_OR_MEDIATOR,,PENDING,Seeded from matched pairs; do not infer publish-time question context from current Zhihu state.
PAIR-09,B_MATCHED_LOW_PLAY,answer_2052435404134127226,管理的本质是决策还是协调？,171,35.0,204.68,64,2.67,,UNKNOWN,,UNKNOWN,,UNKNOWN,,UNKNOWN,,RECONSTRUCTED,,RECONSTRUCTED,,RECONSTRUCTED,,UNKNOWN,,UNKNOWN,0.0058,0.0,0.0351,OUTCOME_OR_MEDIATOR,,PENDING,Seeded from matched pairs; do not infer publish-time question context from current Zhihu state.
