production_id,article_id,question_title,question_url,answer_url,published_at,trace_status,source,notes
ZH-20260802-001,answer_2067141025638921938,提拔你当了部门负责人，第一件事该干啥？,https://www.zhihu.com/question/1978759645523907490,https://www.zhihu.com/answer/2067141025638921938,发布于 08-02,PARTIAL,知乎创作中心内容管理 2026-08-04 REVIEW_DAY,已补 answer_url / article_id；缺正式 QA / 审计
ZH-20260801-001,answer_2066924156592116539,职场中怎么改掉弱者气息？,https://www.zhihu.com/question/2005699650552886454,https://www.zhihu.com/answer/2066924156592116539,2026-08-01 约 11:35 +03:00,COMPLETE,productions/ZH-20260801-001/Publish-v1.md,截图显示被折叠；已具备 answer_id
ZH-20260731-unknown_mofish,answer_2066733997074523922,为什么老板明知你摸鱼却不拆穿？,UNKNOWN,https://www.zhihu.com/answer/2066733997074523922,发布于 07-31,BROKEN,知乎创作中心内容管理 2026-08-04 REVIEW_DAY,无正式 Production ID；已补 answer_url / article_id；仅保留历史未知生产，不用于变量归因
ZH-20260801-003,answer_2066566025722832645,领导不声不响把你手里的任务拿走后，过了几个月，发现别人干不了，想还给你，你会怎么做呢？,UNKNOWN,https://www.zhihu.com/answer/2066566025722832645,发布于 07-31,COMPLETE,知乎创作中心内容管理 2026-08-04 REVIEW_DAY,本地生产链完整；已补 answer_url / article_id
zhihu-20260729-fuzzy-responsibility-boundary-001,answer_2065858842207032462,领导布置任务故意模糊责任界限，作为底层员工，如何在谁都不得罪的前提下，保护好自己？,https://www.zhihu.com/question/1911346542637462559,https://www.zhihu.com/answer/2065858842207032462,发布于 07-29,LEGACY_RUN,知乎创作中心内容管理 2026-08-04 REVIEW_DAY,旧运行日志体系；已补 answer_url / article_id；缺正文、QA
zhihu-20260729-middle-manager-promotion-001,answer_2065829100695113964,为什么工作中，很多高层领导明知道某位中层领导缺乏管理能力，但还是提拔了他当中层？,https://www.zhihu.com/question/15128661178,https://www.zhihu.com/answer/2065829100695113964,发布于 07-29,LEGACY_RUN,知乎创作中心内容管理 2026-08-04 REVIEW_DAY,旧运行日志体系；已补 answer_url / article_id；有参数审计文件
zhihu-20260729-senior-leader-not-fired-001,answer_2065823788911048364,公司高层明明不行，大老板为什么还不裁掉他们？,https://www.zhihu.com/question/13633116099,https://www.zhihu.com/answer/2065823788911048364,发布于 07-29,LEGACY_RUN,知乎创作中心内容管理 2026-08-04 REVIEW_DAY,旧运行日志体系；已补 answer_url / article_id；缺正文、QA
ZH-20260804-003,answer_2068122609598911600,为什么有任务的时候，领导从来不分配给他提拔的人，却分给业务能力过硬的普通员工？,https://www.zhihu.com/question/1978737991213143605,https://www.zhihu.com/answer/2068122609598911600,发布于 08-04,COMPLETE,知乎创作中心内容管理 2026-08-08 REVIEW_DAY,新流程样本；本地有 Card / Draft / Decision / Patch / Article-Patched；缺 Release 记录；致知计划内容收益明细最近7天未匹配到单篇收益
ZH-20260808-001,answer_2069522411372933416,公司实行「上四休三」，但要降薪1000元，员工不接受只能辞职，这样合理吗？换做是你会如何选择？,https://www.zhihu.com/question/2068750826869413005,https://www.zhihu.com/answer/2069522411372933416,2026-08-08,COMPLETE,知乎问题页“查看我的回答”反查 2026-08-08,新流程样本；Release-v1 已发布；article_id 已由问题页本人回答链接确认；收益待回收
ZH-20260808-002,answer_2069533843439235799,作为公司中层干部的你，发现老板非常喜欢绕过你，直接给基层的员工下达指令，遇到这样的情况你如何处理？,https://www.zhihu.com/question/665918348,https://www.zhihu.com/answer/2069533843439235799,2026-08-08,COMPLETE,知乎问题页“查看我的回答”反查 2026-08-08,新流程样本；Release-v1 已发布；article_id 已由问题页本人回答链接确认；收益待回收
ZH-20260808-003,answer_2069537531780129888,为什么很多中层永远无法晋升高层，从中层管理到高层管理，挑战在哪里？,https://www.zhihu.com/question/1934013394656167690,https://www.zhihu.com/answer/2069537531780129888,发布于 17 小时前,COMPLETE,知乎创作中心内容管理 2026-08-09 REVIEW_DAY,新流程样本；Release-v1 已发布；article_id 已由内容管理页确认；收益待回收
ZH-20260809-001,answer_2069838524929594559,为什么工人们宁愿联合起来就为了多加班多干活，也不愿意联合起来要求涨工资呢？,https://www.zhihu.com/question/2067867073200575910,https://www.zhihu.com/answer/2069838524929594559,发布于昨天 12:32,COMPLETE,知乎创作中心内容管理 2026-08-10 REVIEW_DAY,新流程样本；Release-v1 已发布；article_id 已由内容管理页确认；收益待回收
